ticker,industry,signals,wins,losses,win_rate,median_holding_days,average_holding_days,expectancy_pct
CCL,"Hotels, Resorts & Cruise Lines",0,0,0,0.0,0.0,0.0,0.0
CARR,Building Products,2,0,2,0.0,15.0,15.0,-4.5
CVNA,Automotive Retail,1,1,0,100.0,0.0,0.0,13.44
CASY,Food Retail,3,1,1,50.0,14.5,14.5,7.87
CAT,Construction Machinery & Heavy Transportation Equipment,0,0,0,0.0,0.0,0.0,0.0
CBOE,Financial Exchanges & Data,1,0,1,0.0,0.0,0.0,-1.15
CBRE,Real Estate Services,1,0,0,0.0,0.0,0.0,0.0
CDW,Technology Distributors,2,0,2,0.0,9.5,9.5,-5.52
COR,Health Care Distributors,4,1,3,25.0,23.0,22.5,-0.18
CNC,Managed Health Care,0,0,0,0.0,0.0,0.0,0.0
CNP,Multi-Utilities,2,1,0,100.0,11.0,11.0,9.23
CF,Fertilizers & Agricultural Chemicals,0,0,0,0.0,0.0,0.0,0.0
CRL,Life Sciences Tools & Services,0,0,0,0.0,0.0,0.0,0.0
SCHW,Investment Banking & Brokerage,0,0,0,0.0,0.0,0.0,0.0
CHTR,Cable & Satellite,0,0,0,0.0,0.0,0.0,0.0
